vehicle_id,vehicle_type,time,whether_app,pre_sum,label_sum,segment_pre_0,segment_pre_1,segment_pre_2,segment_pre_3,segment_pre_4,segment_label_0,segment_label_1,segment_label_2,segment_label_3,segment_label_4
宁A5DH35_0,1,b'2021-08-24 16:01:08',1,18.564988374710083,18.06666076183319,1.8226258,6.31971,4.4242625,4.5096507,1.3635032,1.65,6.34998,4.28334,4.43334,1.35
宁CR1286_0,11,b'2021-08-24 16:04:37',0,22.394964694976807,22.41659939289093,2.1676044,7.5763793,5.375493,5.4722714,1.6368029,2.29998,7.61664,5.23332,5.65002,1.61664
晋LU2730_0,1,b'2021-08-24 16:06:51',0,17.895333766937256,17.599979639053345,1.7479838,6.055357,4.275053,4.3518553,1.3207,1.76664,6.01668,4.28334,4.26666,1.26666
宁A6W529_0,1,b'2021-08-24 16:06:59',1,18.41022491455078,19.03325915336609,1.8195509,6.222915,4.389589,4.4715385,1.3587538,1.99998,6.51666,4.58334,4.46664,1.46664
宁AHE573_0,1,b'2021-08-24 16:09:11',0,18.37525248527527,17.69999921321869,1.8203915,6.2301106,4.39266,4.4748573,1.3594732,1.76664,5.86668,4.41666,4.35,1.30002
宁A591Z5_0,1,b'2021-08-24 16:10:42',1,18.177688121795654,17.09999978542328,1.7732419,6.178297,4.33552,4.415327,1.3376833,1.8,6.01668,3.96666,4.11666,1.1999999
宁BBU190_0,1,b'2021-08-24 16:18:38',0,18.698599934577942,19.68336045742035,1.7956951,6.407464,4.4206758,4.5371327,1.3748969,2.13336,6.85002,4.7666397,4.63332,1.30002
宁C34485_0,1,b'2021-08-24 16:21:39',1,18.353079557418823,48.3833384513855,1.7734069,6.262069,4.355378,4.46537,1.3530725,2.14998,6.98334,32.41668,5.38332,1.45002
宁A5JQ00_0,1,b'2021-08-24 16:23:28',0,18.465346097946167,17.349960207939148,1.7630584,6.3143454,4.3519135,4.4648542,1.3823591,1.71666,6.06666,4.24998,4.11666,1.1999999
宁AT5129_0,1,b'2021-08-24 16:27:33',1,18.36182713508606,17.54994034767151,1.8120972,6.2099156,4.368631,4.4845185,1.3539402,1.73334,5.81664,4.28334,4.39998,1.31664
宁AD9512_1,16,b'2021-08-24 16:27:44',0,22.892176508903503,20.85006058216095,2.3053112,7.638124,5.5457416,5.683323,1.7490582,2.05002,6.7666802,5.28336,5.23332,1.51668
陕ACK286_1,12,b'2021-08-24 16:33:09',0,24.054425954818726,22.86672055721283,2.3667848,8.03249,5.8235674,5.950527,1.7914658,2.20002,7.5833397,5.65002,5.73336,1.69998
陕EC8382_1,16,b'2021-08-24 16:35:07',0,28.93706202507019,26.04996085166931,3.1281884,8.616234,6.667775,6.8383436,2.337957,2.56668,8.83332,5.96664,6.75,1.9333199
陕AP67B1_0,1,b'2021-08-24 16:37:04',1,18.445526361465454,17.6666396856308,1.7909038,6.264927,4.390302,4.4785676,1.3687752,1.78332,5.93334,4.33332,4.33332,1.28334
冀DU4286_1,16,b'2021-08-24 16:38:08',0,28.860692381858826,33.55002164840698,3.0647006,8.639898,6.731878,6.901677,2.3057623,2.36664,7.96668,15.21666,6.1666803,1.8333601
